Expt,Plate,Well,Strain,Rep,EvoTemp,AssayTemp,EvoLight,AssayLight,TargetOchConc,VolOch,VolK,VolPredFSW,D1Date,Pred,,D1OchPop,D2OchPop,D3OchPop,D4OchPop,,D1PredPop,D2PredPop,D3PredPop,D4PredPop,,ScopeCounter,,D1FSC,D2FSC,D3FSC,D4FSC,,D1RedF,D2RedF,D3RedF,D4RedF,,OchGrowthRate,OchCntrlGrowthRate,GrazingRate,MeanOch,OchCellsEaten,MeanOmarina,OchperOmarinaperday,OmarinaGrowthRate,Notes
1,1,A1,1393,A,30,18,100,50,0,0,3.5,1.5,6/14/22,Control,,85.1628635,28.3881016,0,0,,0,0,0,0,,MH,,5620.02665,37525.626,0,0,,748.23644,2615.12462,0,0,,0,,,,,,,,
1,1,A2,1393,A,30,18,100,50,25000,0.5,3,1.5,6/14/22,Control,,34095.697,37307.7749,45397.6586,59677.4123,,0,0,0,0,,MH,,7279.48283,7448.35855,7656.3737,7831.10003,,4533.90189,4601.13629,4369.14805,4964.67368,,0.186594136,,,,,,,,
1,1,B1,1393,A,30,18,100,50,50000,1,2.5,1.5,6/14/22,Control,,68648.0843,74869.118,88773.1873,111568.116,,0,0,0,0,,MH,,7236.26788,7743.89616,7588.80584,7736.22208,,4683.22103,4746.96104,4454.78815,4941.87529,,0.161880695,,,,,,,,
1,1,B2,1393,A,30,18,100,50,75000,1.4,2.1,1.5,6/14/22,Control,,95196.5089,102247.525,122530.235,141673.559,,0,0,0,0,,MH,,7279.12103,7529.66633,7404.29137,7812.27232,,4512.30301,4784.65559,4497.17485,4973.26422,,0.13252742,,,,,,,,
1,1,C1,1393,A,30,18,100,50,100000,1.9,1.6,1.5,6/14/22,Control,,132984.756,138464.387,161606.317,189122.701,,0,0,0,0,,MH,,7100.64353,7537.34294,7394.81417,7717.78969,,4632.67404,4786.80519,4515.48202,4920.24502,,0.11738717,,,,,,,,
1,1,C2,1393,A,30,18,100,50,125000,2.3,1.2,1.5,6/14/22,Control,,159394.105,169039.804,209232.627,238830.839,,0,0,0,0,,MH,,7153.23151,7663.31686,7315.20033,7547.55174,,4720.96374,4860.48398,4552.25662,4746.83441,,0.134791911,,,,,,,,
1,1,A3,1393,A,30,18,100,50,0,0,3.5,1.5,6/14/22,O.marina,,255.503726,56.7910219,255.57806,340.779497,,1610,1580,1570,1690,,MH,,7908.87059,11976.1976,8406.97395,7661.80347,,2060.06586,5262.29793,3720.69128,3103.02566,,0,0,0,296.0978263,0,1649.676717,0,0.016164783,
1,1,A4,1393,A,30,18,100,50,25000,0.5,3,1.5,6/14/22,O.marina,,35574.3957,21891.2588,19818.1766,27767.472,,1760,1790,1430,1470,,MH,,7570.2021,8910.85151,9468.12299,9776.35002,,4461.38263,4624.42529,4517.94664,5006.62309,,-0.082586965,0.186594136,0.2691811,31509.91099,8481.872503,1610.651107,5.266114099,-0.060017136,
1,1,B3,1393,A,30,18,100,50,50000,1,2.5,1.5,6/14/22,O.marina,,64874.8644,52470.3738,54967.9085,59423.2365,,2170,1800,1760,1660,,MH,,7511.44471,8505.68906,8632.88157,8984.60311,,4608.22336,4933.76186,4555.67962,5133.89174,,-0.029258305,0.161880695,0.191138999,62109.17922,11871.48637,1903.627441,6.236244611,-0.089303188,
1,1,B4,1393,A,30,18,100,50,75000,1.4,2.1,1.5,6/14/22,O.marina,,93649.3516,76660.8928,91789.8372,97643.9455,,2060,2000,2180,1720,,MH,,7570.6544,8446.75862,8235.07148,8710.95885,,4588.45303,4986.40172,4507.28708,5138.44558,,0.013923383,0.13252742,0.118604038,95632.74439,11342.42961,1884.891955,6.017548954,-0.060127231,
1,1,C3,1393,A,30,18,100,50,100000,1.9,1.6,1.5,6/14/22,O.marina, ,137093.572,115914.918,136617.933,151589.079,,2120,1650,2140,1710,,MH,,7441.14684,8146.6643,8211.42493,8362.82698,,4655.11862,4985.57041,4678.60613,5238.62384,,0.033503244,0.11738717,0.083883926,144219.9343,12097.73432,1907.662454,6.341653524,-0.071640906,
1,1,C4,1393,A,30,18,100,50,125000,2.3,1.2,1.5,6/14/22,O.marina,,168438.39,148518.649,168812.201,190401.183,,1990,1950,1710,1890,,MH,,7316.07333,8162.76073,8125.19233,8441.08297,,4669.8264,4886.8574,4668.084,5323.6531,,0.04085443,0.134791911,0.09393748,179195.5233,16833.17594,1939.570371,8.67881681,-0.017185937,
1,2,A1,1393,B,30,18,100,50,0,0,3.5,1.5,6/14/22,Control,,0,0,85.162287,56.7754185,,0,0,0,0,,MH,,0,0,4840.40839,5216.93245,,0,0,1926.6317,7560.31551,,0,,,,,,,,
1,2,A2,1393,B,30,18,100,50,25000,0.7,2.8,1.5,6/14/22,Control,,25238.4035,24559.9825,26831.2443,27285.3683,,0,0,0,0,,MH,,8559.90795,8576.59142,8742.56354,8971.09834,,7899.62499,8259.94929,8263.6962,8465.85084,,0.025994605,,,,,,,,
1,2,B1,1393,B,30,18,100,50,50000,1.3,2.2,1.5,6/14/22,Control,,46333.8911,47221.1351,48925.0926,52473.6753,,0,0,0,0,,MH,,8421.19713,8331.32055,8525.90478,8871.58227,,8084.68419,8387.64029,8216.88545,9066.15512,,0.041479313,,,,,,,,
1,2,B2,1393,B,30,18,100,50,75000,1.9,1.6,1.5,6/14/22,Control,,67344.4419,69024.1506,73395.9758,79357.3473,,0,0,0,0,,MH,,8379.94172,8468.48592,8672.00091,8885.53203,,8167.50652,8472.33838,8139.16923,8480.21542,,0.054713554,,,,,,,,
1,2,C1,1393,B,30,18,100,50,100000,2.5,1,1.5,6/14/22,Control,,89532.5963,88649.1366,100395.18,104730.631,,0,0,0,0,,MH,,8294.13792,8345.09932,8429.2587,8785.73885,,8224.58378,8237.3428,8101.57998,8729.13669,,0.052262957,,,,,,,,
1,2,C2,1393,B,30,18,100,50,125000,3.2,0.3,1.5,6/14/22,Control,,121569.496,116493.325,130292.852,128482.506,,0,0,0,0,,MH,,8361.28767,8365.89131,8316.23697,8655.28378,,8181.64001,8406.00417,7991.07869,8420.6162,,0.018435557,,,,,,,,
1,2,A3,1393,B,30,18,100,50,0,0,3.5,1.5,6/14/22,O.marina,,113.558044,28.3950783,198.770876,141.985207,,2190,2220,1890,1950,,MH,,15957.0353,11509.441,10102.3591,7153.95201,,1043.84837,683.140586,3260.83475,2540.06961,,0,0,0,127.2428254,0,2067.679078,0,-0.038690724,
